s.lin.t.22.0.000-000	138.46	3.87
s.lin.c.23.0.000-000	139.64	4.26
s.lin.c.22.0.000-000	139.73	3.89
s.lin.t.23.0.000-000	140.09	4.30
s.lin.t.27.0.000-000	141.23	4.09
s.lin.t.24.0.000-000	141.42	4.00
s.lin.c.27.0.000-000	141.82	4.28
s.lin.t.33.0.000-000	141.84	4.54
s.lin.c.47.0.000-000	141.93	4.46
s.lin.c.24.0.000-000	142.14	4.09
s.lin.c.37.0.000-000	142.31	4.65
s.lin.t.37.0.000-000	142.32	4.67
s.lin.c.77.0.000-000	142.32	4.51
s.lin.c.33.0.000-000	142.59	4.71
s.lin.c.34.0.000-000	143.40	4.60
s.lin.t.34.0.000-000	143.80	4.60
s.lin.t.47.0.000-000	143.84	4.58
s.lin.t.77.0.000-000	144.04	4.61
s.lin.t.44.0.000-000	144.66	4.65
s.lin.c.44.0.000-000	144.89	4.66
s.cyc.34.43.0.000-000	85.72	3.76
s.cyc.34.34.0.000-000	87.46	3.38
s.cyc.17.43.0.x00-000	95.87	3.89
s.cyc.17.34.0.x00-000	97.05	3.46
s.cyc.34.76.0.000-00x	104.69	4.04
s.cyc.34.45.0.000-0x0	105.27	3.99
s.cyc.34.67.0.000-00x	109.32	3.53
s.cyc.17.71.0.x00-x00	109.85	3.88
d.lin.c.22.1.001-001	110.38	2.32
d.lin.t.22.1.001-001	111.04	2.20
s.cyc.34.54.0.000-0x0	113.11	3.50
d.lin.t.27.1.001-001	111.50	1.90
s.lin.c.23.1.011-000	111.76	1.86
s.lin.t.23.1.011-000	112.67	1.79
s.lin.t.22.1.011-000	113.13	1.84
d.lin.t.23.1.001-100	113.40	2.59
d.lin.t.24.1.001-010	113.59	1.98
d.lin.c.23.1.001-100	114.76	2.42
s.lin.c.22.1.011-000	114.77	1.79
s.lin.t.23.1.101-000	114.79	2.11
d.lin.c.27.1.001-001	115.10	1.90
s.cyc.23.34.0.000-000	117.47	3.52
d.lin.c.24.1.001-010	116.34	1.98
s.lin.c.22.1.101-000	116.40	2.04
s.lin.t.24.1.011-000	116.54	1.81
s.cyc.23.43.0.000-000	118.58	3.45
s.lin.t.27.1.011-000	116.90	1.84
s.lin.c.23.1.101-000	117.30	1.93
s.lin.t.24.1.000-011	117.34	1.53
s.lin.c.24.1.011-000	117.45	1.83
s.lin.t.27.1.000-011	117.58	1.58
s.lin.t.27.1.101-000	117.81	2.03
s.lin.c.23.1.000-011	118.13	1.67
s.lin.c.24.1.000-011	118.40	1.60
s.lin.t.22.1.101-000	118.48	1.95
z.lin.t.23.1.001-001	118.63	1.70
s.lin.c.34.1.000-011	118.66	1.67
s.lin.t.23.1.000-011	118.69	1.70
s.cyc.17.23.0.x00-000	120.69	3.95
s.lin.t.34.1.000-011	118.81	1.67
s.lin.c.27.1.011-000	118.99	1.96
s.lin.t.33.1.011-000	119.04	1.64
s.cyc.17.32.0.x00-000	121.18	3.70
s.lin.c.37.1.000-011	119.23	1.66
s.lin.t.37.1.000-011	119.40	1.65
s.lin.c.27.1.000-011	119.62	1.63
s.lin.c.33.1.011-000	119.79	1.75
s.lin.t.23.1.000-101	119.97	1.88
s.lin.c.77.1.011-000	120.12	1.76
s.lin.c.47.1.011-000	120.32	1.67
